name,lat,lon,country,name_slug
Повеляново,43.1942135,27.6400718,BG,
Разделна,43.1690323,27.6248192,BG,
Велинград,42.0247422,23.9963548,BG,
Мътница,43.2830667,27.024875,BG,
Варна,43.1980013,27.9122585,BG,
Оризово,42.2045048,25.1756118,BG,
Банкя,42.7060917,23.1509051,BG,
Лакатник,43.0825826,23.37882,BG,
Белово,42.2156121,24.0184011,BG,
Елин Пелин,42.6284861,23.5789608,BG,
Волуяк,42.7548363,23.2444286,BG,
Криводол,43.3669136,23.4725259,BG,
Дъбово,42.6141841,25.6375806,BG,
Искър,42.6647171,23.4130159,BG,
Гюешево,42.235653,22.4761775,MK,
Белослав,43.1985773,27.7059961,BG,
Левски,43.350771,25.1429097,BG,
Вакарел,42.5562156,23.7073482,BG,
Шумен,43.2716275,26.9437619,BG,
Централна гара Пловдив,42.1341703,24.7413839,BG,
Попово,43.3328549,26.232807,BG,
Макоцево,42.6898066,23.8035251,BG,
Казичене,42.6525527,23.4698415,BG,
Копривщица,42.7009865,24.3390415,BG,
Любеново предавателна,42.1865341,25.9058755,BG,
Нова Загора,42.4856671,26.0161533,BG,
Царева ливада,42.9328818,25.4547234,BG,
Габрово,42.8851746,25.3167276,BG,
Централна гара София,42.7129593,23.3208899,BG,
Бургас Централна гара,42.4906937,27.4725306,BG,
Стара Загора,42.4160392,25.6296382,BG,
Ansbach,49.2979431,10.5777328,DE,ansbach
Oberdachstetten,49.4179773,10.4237258,DE,oberdachstetten
Nürnberg-Stein,49.4252777,11.0176745,DE,nurnberg-stein
Triesdorf,49.2002517,10.6800339,DE,triesdorf
Gunzenhausen,49.1206793,10.7556064,DE,gunzenhausen
Kulmbach,50.109855,11.4518382,DE,kulmbach
Wissingen,52.2585366,8.2039781,DE,wissingen
Tiergarten,52.5143746,13.3364504,DE,tiergarten
Bünde (Westf),52.202246,8.5743329,DE,bunde-westf
Kirchlengern,52.1967257,8.6439681,DE,kirchlengern
Lehrte,52.3764871,9.9742264,DE,lehrte
Meinersen,52.4492981,10.3217888,DE,meinersen
Lichtenfels,50.1462694,11.0589522,DE,lichtenfels
Quickborn Süd,53.723036,9.9075065,DE,quickborn-sud
Eystrup,52.7839495,9.2311697,DE,eystrup
Geestenseth,53.5065706,8.859299,DE,geestenseth
Harsefeld,53.4500852,9.4990755,DE,harsefeld
Bremen-Hemelingen,53.0539423,8.8871732,DE,bremen-hemelingen
Lübeck Hauptbahnhof,53.8675937,10.6698551,DE,lubeck-hauptbahnhof
Verden (Aller),52.9207954,9.237876,DE,verden-aller
Wunstorf,52.4221569,9.4514075,DE,wunstorf
Mainleus,50.0997081,11.379828,DE,mainleus
Marktschorgast,50.0908405,11.653602,DE,marktschorgast
Dortmund-Kurl,51.5570255,7.5852785,DE,dortmund-kurl
Dortmund-Bövinghausen,51.5188789,7.3275594,DE,dortmund-bovinghausen
Erichshof,53.0018508,8.7910235,DE,erichshof
Schloß Holte,51.9077658,8.6114163,DE,schlo-holte
Hövelhof,51.8240084,8.6616455,DE,hovelhof
Paderborn-Sennelager,51.7703723,8.7137798,DE,paderborn-sennelager
Unna-Königsborn,51.5532388,7.687776,DE,unna-konigsborn
Geseke,51.6452218,8.510302,DE,geseke
Lübberstedt,53.3428686,8.7852965,DE,lubberstedt
Löhne (Westf),52.1965102,8.7139521,DE,lohne-westf
Westend,52.5180135,13.2844201,DE,westend
Gehlberg,50.6837805,10.7697075,DE,gehlberg
Delmenhorst,53.0528092,8.6294626,DE,delmenhorst
Bremen Neustadt,53.0761509,8.7860771,DE,bremen-neustadt
Bremerhaven Hauptbahnhof,53.5350147,8.5993743,DE,bremerhaven-hauptbahnhof
Othmarschen,53.5591518,9.8852809,DE,othmarschen
Torgau,51.5628862,12.9909587,DE,torgau
Wannsee,52.4214071,13.1798077,DE,wannsee
Pichelsberg,52.5101503,13.2276304,DE,pichelsberg
Grunewald,52.4882479,13.2610104,DE,grunewald
Schweinfurt Hbf,50.0350546,10.2120347,DE,schweinfurt-hbf
Ebenhausen (Unterfr),50.1317691,10.1377468,DE,ebenhausen-unterfr
Rastede,53.2446036,8.1910167,DE,rastede
Varel (Oldb),53.3990747,8.1502302,DE,varel-oldb
Sande,53.4900687,8.0316614,DE,sande
Potsdam Medienstadt Babelsberg,52.3825232,13.1220475,DE,potsdam-medienstadt-babelsberg
Bahnhof Historische Pferdebahn,53.7694838,7.6890193,DE,bahnhof-historische-pferdebahn
Würzburg Hauptbahnhof,49.8026489,9.936054,DE,wurzburg-hauptbahnhof
Berlin Zoologischer Garten,52.5074342,13.3325608,DE,berlin-zoologischer-garten
Ruhleben,52.5256744,13.2414191,DE,ruhleben
Lemgo,52.0225015,8.8949914,DE,lemgo
Reuth (b Plauen/Vogtl),50.4759342,11.9543698,DE,reuth-b-plauen/vogtl
Bernau (bei Berlin),52.6753854,13.5919415,DE,bernau-bei-berlin
Karow,52.6152148,13.4694647,DE,karow
Horneburg,53.5082936,9.5768845,DE,horneburg
Stade,53.5960704,9.4775887,DE,stade
Cadenberge,53.7679539,9.0584937,DE,cadenberge
Amrumer Straße,52.5423332,13.3501546,DE,amrumer-strae
Kurfürstendamm,52.5038223,13.3314365,DE,kurfurstendamm
Güntzelstraße,52.4920843,13.3310064,DE,guntzelstrae
Berliner Straße,52.4873298,13.3310103,DE,berliner-strae
Friedrich-Wilhelm-Platz,52.4721217,13.3287301,DE,friedrich-wilhelm-platz
Walther-Schreiber-Platz,52.4653254,13.3282601,DE,walther-schreiber-platz
Schloßstraße,52.461481,13.3250946,DE,schlostrae
Rathaus Steglitz,52.4567983,13.3209344,DE,rathaus-steglitz
Beusselstraße,52.5344077,13.3293873,DE,beusselstrae
Theodor-Heuss-Platz,52.5099869,13.2722217,DE,theodor-heuss-platz
Neu-Westend,52.5162154,13.2592357,DE,neu-westend
Deutsche Oper,52.511837,13.3105328,DE,deutsche-oper
Ernst-Reuter-Platz,52.5118853,13.3221613,DE,ernst-reuter-platz
